date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:41:38	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202022%2008:41:39%20GMT	https://cosmicdrifts.tech/design/fonts/magistral-cond-extra-bold.woff	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/design/fonts/magistral-cond-extra-bold.1a.delayed	(from https://cosmicdrifts.tech/)
11:41:39	549577/549577	---M--	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202022%2008:41:40%20GMT	https://cosmicdrifts.tech/index.html	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/index-2.html	(from https://cosmicdrifts.tech/)
11:41:39	354571/354571	---M--	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202022%2008:41:41%20GMT	https://cosmicdrifts.tech/early-access.html	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/early-access.html	(from https://cosmicdrifts.tech/)
11:41:40	160062/160062	---M--	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202022%2008:41:41%20GMT	https://cosmicdrifts.tech/updates.html	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/updates.html	(from https://cosmicdrifts.tech/)
11:41:40	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202022%2008:41:42%20GMT	https://cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/1DteZrL1bScvE27IcYtmAn/b45e84969732b917debaed0145922fdb/SP_thumb87a9.jpg?q=60&w=3840	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/1DteZrL1bScvE27IcYtmAn/b45e84969732b917debaed0145922fdb/SP_thumb87a9.1e87a9.delayed	(from https://cosmicdrifts.tech/)
11:41:41	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202022%2008:41:43%20GMT	https://cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/4b69mGpsVGfD8VKOkwbsNd/9b82f4b2c911ea93dbd8702a44e19abc/CosmicDrift_Header_logo_1155x435px75b5.png?q=80&w=3840	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/4b69mGpsVGfD8VKOkwbsNd/9b82f4b2c911ea93dbd8702a44e19abc/CosmicDrift_Header_logo_1155x435px75b5.1f75b5.delayed	(from https://cosmicdrifts.tech/)
11:41:42	31521/31521	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Apr%202022%2008:41:43%20GMT	https://cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/2yT7jLQP8aFscZnYXzP0xo/c8d724fa1875112179268cde99c1024c/Duke_selected.png	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/2yT7jLQP8aFscZnYXzP0xo/c8d724fa1875112179268cde99c1024c/Duke_selected.png	(from https://cosmicdrifts.tech/)
11:41:42	14550/14550	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Apr%202022%2008:41:44%20GMT	https://cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/2P7KTex2hr13UVtrGPtWqv/6f938683406504e4eb4be9113058b1d8/Eris_thumb_B.png	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/2P7KTex2hr13UVtrGPtWqv/6f938683406504e4eb4be9113058b1d8/Eris_thumb_B.png	(from https://cosmicdrifts.tech/)
11:41:43	18270/18270	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Apr%202022%2008:41:45%20GMT	https://cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/3njs07yyHdFLzAooqBNQqo/94134fdc425f7eb294315bf9d5625543/Finn_thumb_B.png	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/3njs07yyHdFLzAooqBNQqo/94134fdc425f7eb294315bf9d5625543/Finn_thumb_B.png	(from https://cosmicdrifts.tech/)
11:41:44	14226/14226	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Apr%202022%2008:41:45%20GMT	https://cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/6ghdSGX1NceR3edLPDF3Eg/4d78f14c4753bdc8615963f3d3cc7f1d/Bob_thumb_B.png	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/6ghdSGX1NceR3edLPDF3Eg/4d78f14c4753bdc8615963f3d3cc7f1d/Bob_thumb_B.png	(from https://cosmicdrifts.tech/)
11:41:44	93243/93243	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Apr%202022%2008:41:46%20GMT	https://cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/70VS7j9FwTVsb3jlQHo450/49448a6ad193f1edbd9f0b6df6a1855a/Bob_sml.png	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/70VS7j9FwTVsb3jlQHo450/49448a6ad193f1edbd9f0b6df6a1855a/Bob_sml.png	(from https://cosmicdrifts.tech/)
11:41:45	120702/120702	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Apr%202022%2008:41:46%20GMT	https://cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/4wu3NvsXka74OQtVYaSrZr/b2ca4559922a5b8d1338a7489958e2e3/Bob-Pattern.png	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/4wu3NvsXka74OQtVYaSrZr/b2ca4559922a5b8d1338a7489958e2e3/Bob-Pattern.png	(from https://cosmicdrifts.tech/)
11:41:46	74381/74381	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Apr%202022%2008:41:47%20GMT	https://cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/6BqPw79yWmOcanCtHB0oYH/795c99be6b8708b280d1c65538840e13/Duke_sml.png	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/6BqPw79yWmOcanCtHB0oYH/795c99be6b8708b280d1c65538840e13/Duke_sml.png	(from https://cosmicdrifts.tech/)
11:41:47	129325/129325	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Apr%202022%2008:41:48%20GMT	https://cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/78KBXQFSW3bczOrVQqdWYT/ee2e74bc9098b40442c1e770fc9207b3/Duke_Full_B.png	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/78KBXQFSW3bczOrVQqdWYT/ee2e74bc9098b40442c1e770fc9207b3/Duke_Full_B.png	(from https://cosmicdrifts.tech/)
11:41:47	85119/85119	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Apr%202022%2008:41:48%20GMT	https://cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/1634uWJOJPs3YJn2hi7jPM/cecfdeca97ed1e69dd537129bd3271db/Eris_sml.png	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/images.ctfassets.net/9tpgu2u9anrt/1634uWJOJPs3YJn2hi7jPM/cecfdeca97ed1e69dd537129bd3271db/Eris_sml.png	(from https://cosmicdrifts.tech/)
